Data,Previsão,Limite Inferior,Limite Superior
2022-01-31,3841.5971732283747,-2555.533271468577,10238.727617925326
2022-02-28,3696.993861060786,-3393.8775706535835,10787.865292775155
2022-03-31,3806.129698179392,-5215.985724621504,12828.24512098029
2022-04-30,3723.7620762692177,-6018.832045691387,13466.356198229823
2022-05-31,3785.9270380110174,-7216.367566207255,14788.22164222929
2022-06-30,3739.0095432632165,-7977.748184190921,15455.767270717355
2022-07-31,3774.419382692584,-8905.063343669117,16453.902109054285
2022-08-31,3747.6946665679584,-9618.567486505493,17113.95681964141
2022-09-30,3767.8644968595213,-10398.99963855998,17934.728632279024
2022-10-31,3752.6418074175344,-11065.14476090621,18570.428375741278
2022-11-30,3764.130762480489,-11753.857026476715,19282.118551437692
2022-12-31,3755.4597527392984,-12376.621911081822,19887.54141656042
